,fecha,centro,almacen,tipo_stock,material,cantidad_teorica,cantidad_contada,stock_diferencia,impacto_valor,diferencia_absoluta,diferencia_porcentual,impacto_economico_abs
1154,2026-01-08,R241,FB01,Almacén,CUBIE410010,1368.19,3190.81,1822.62,7645891.0,1822.62,133.21395420226722,7645891.0
1156,2026-01-08,R241,FB01,Almacén,CUBIE410011,1604.095,1534.928,-69.167,331379.0,69.167,4.311901726518691,331379.0
1158,2026-01-08,R241,FB01,Almacén,CUBIE410012,61.516,60.649,-0.867,5576.0,0.867,1.4093894271409064,5576.0
1160,2026-01-08,R241,FB01,Almacén,CUBIE410018,4239.302,4181.879,-57.423,674663.0,57.423,1.3545390255282592,674663.0
1162,2026-01-08,R241,FB01,Almacén,CUBIE410019,728.0,720.511,-7.489,56205.0,7.489,1.0287087912087913,56205.0
1164,2026-01-08,R241,FB01,Almacén,CUBIE410025,390.934,402.276,11.342,55031.0,11.342,2.9012569896708906,55031.0
1166,2026-01-08,R241,FB01,Almacén,CUBIE410029,6060.351,5852.846,-207.505,601349.0,207.505,3.423976598055129,601349.0
1168,2026-01-08,R241,FB01,Almacén,ENGON410002,3766.904,3629.584,-137.32,251982.0,137.32,3.645434022210282,251982.0
1170,2026-01-08,R241,FB01,Almacén,ENGON410005,41341.684,41522.278,180.594,429272.0,180.594,0.43683271344244223,429272.0
1232,2026-01-08,R241,FB01,Almacén,CUBIE410002,2.199,0.0,-2.199,6722.0,2.199,100.0,6722.0
1234,2026-01-08,R241,FB01,Almacén,CUBIE410003,16.781,0.0,-16.781,53833.0,16.781,100.0,53833.0
1238,2026-01-08,R241,FB01,Almacén,CUBIE410005,2.418,0.0,-2.418,8388.0,2.418,100.0,8388.0
1276,2026-01-08,R241,FB01,Almacén,CUBIE410031,274.972,0.0,-274.972,1933603.0,274.972,100.0,1933603.0
1385,2026-01-15,R241,MP01,Almacén,2005265,1345.483,1617.0,271.517,1123648.0,271.517,20.17989079014748,1123648.0
1387,2026-01-15,R241,MP01,Almacén,2005285,3786.012,3000.0,-786.012,33016.0,786.012,20.76094845975131,33016.0
1411,2026-01-15,R241,MP01,Almacén,2007001,917.088,894.0,-23.088,863664.0,23.088,2.5175337590285776,863664.0
1413,2026-01-15,R241,MP01,Almacén,2007007,1045.971,1042.0,-3.971,194579.0,3.971,0.37964723687368007,194579.0
1415,2026-01-15,R241,MP01,Almacén,2007008,87529.164,87500.0,-29.164,2484.0,29.164,0.03331918033628197,2484.0
1417,2026-01-15,R241,MP01,Almacén,2007012,1839.992,1100.0,-739.992,31049.0,739.992,40.217131378832086,31049.0
1419,2026-01-15,R241,MP01,Almacén,2007031,24.75,6.0,-18.75,149660.0,18.75,75.75757575757575,149660.0
1421,2026-01-15,R241,MP01,Almacén,2007034,208.503,225.0,16.497,245805.0,16.497,7.912116372426296,245805.0
1423,2026-01-15,R241,MP01,Almacén,2007036,15059.018,15000.0,-59.018,472.0,59.018,0.3919113450823951,472.0
1439,2026-01-15,R241,MP01,Almacén,2007502,2034.0,2032.0,-2.0,67206.0,2.0,0.09832841691248771,67206.0
1449,2026-01-15,R241,MP01,Almacén,2007590,509.454,520.0,10.546,195255.0,10.546,2.0700593184075498,195255.0
